event,timestamp,ufos,materialized_chunks,intended_memory_usage,apparent_memory_usage,memory_usage,disk_usage,ufo_0_memory_usage,ufo_0_disk_usage,ufo_1_memory_usage,ufo_1_disk_usage,
*,81367,0,0,0,0,0,0,0,0,0,0,
A,200239,1,0,80000008,80003072,0,0,0,0,0,0,
M,427489,1,1,80000008,80003072,327680,0,327680,0,0,0,
M,703090,1,2,80000008,80003072,655360,0,655360,0,0,0,
M,910296,1,3,80000008,80003072,983040,0,983040,0,0,0,
M,1038291,1,4,80000008,80003072,1310720,0,1310720,0,0,0,
M,1268103,1,5,80000008,80003072,1638400,0,1638400,0,0,0,
M,1422179,1,6,80000008,80003072,1966080,0,1966080,0,0,0,
M,1576840,1,7,80000008,80003072,2293760,0,2293760,0,0,0,
M,1930596,1,8,80000008,80003072,2621440,0,2621440,0,0,0,
M,2089778,1,9,80000008,80003072,2949120,0,2949120,0,0,0,
M,2251771,1,10,80000008,80003072,3276800,0,3276800,0,0,0,
M,2639484,1,11,80000008,80003072,3604480,0,3604480,0,0,0,
M,3006346,1,12,80000008,80003072,3932160,0,3932160,0,0,0,
M,3365237,1,13,80000008,80003072,4259840,0,4259840,0,0,0,
M,9699875,1,14,80000008,80003072,4587520,0,4587520,0,0,0,
M,9820411,1,15,80000008,80003072,4915200,0,4915200,0,0,0,
M,9963417,1,16,80000008,80003072,5242880,0,5242880,0,0,0,
M,10215164,1,17,80000008,80003072,5570560,0,5570560,0,0,0,
M,10441555,1,18,80000008,80003072,5898240,0,5898240,0,0,0,
M,10549754,1,19,80000008,80003072,6225920,0,6225920,0,0,0,
M,10677880,1,20,80000008,80003072,6553600,0,6553600,0,0,0,
M,10889949,1,21,80000008,80003072,6881280,0,6881280,0,0,0,
M,10995113,1,22,80000008,80003072,7208960,0,7208960,0,0,0,
M,11141044,1,23,80000008,80003072,7536640,0,7536640,0,0,0,
M,11281467,1,24,80000008,80003072,7864320,0,7864320,0,0,0,
M,11432006,1,25,80000008,80003072,8192000,0,8192000,0,0,0,
