event,timestamp,ufos,materialized_chunks,intended_memory_usage,apparent_memory_usage,memory_usage,disk_usage,ufo_0_memory_usage,ufo_0_disk_usage,ufo_1_memory_usage,ufo_1_disk_usage,
*,78875,0,0,0,0,0,0,0,0,0,0,
A,2916564,1,0,80000008,80003072,0,0,0,0,0,0,
A,3461137,2,0,160000016,160006144,0,0,0,0,0,0,
M,4217724,2,1,160000016,160006144,1048576,0,1048576,0,0,0,
M,5278275,2,2,160000016,160006144,2097152,0,2097152,0,0,0,
M,6217414,2,3,160000016,160006144,3145728,0,3145728,0,0,0,
M,7026292,2,4,160000016,160006144,4194304,0,4194304,0,0,0,
M,8045609,2,5,160000016,160006144,5242880,0,5242880,0,0,0,
M,8749806,2,6,160000016,160006144,6291456,0,6291456,0,0,0,
M,9704603,2,7,160000016,160006144,7340032,0,7340032,0,0,0,
M,10629527,2,8,160000016,160006144,8388608,0,8388608,0,0,0,
M,11411142,2,9,160000016,160006144,9437184,0,9437184,0,0,0,
M,12019956,2,10,160000016,160006144,10485760,0,10485760,0,0,0,
M,12612157,2,11,160000016,160006144,11534336,0,11534336,0,0,0,
M,13281529,2,12,160000016,160006144,12582912,0,12582912,0,0,0,
M,13824919,2,13,160000016,160006144,13631488,0,13631488,0,0,0,
M,14649851,2,14,160000016,160006144,14680064,0,14680064,0,0,0,
M,15676245,2,15,160000016,160006144,15728640,0,15728640,0,0,0,
M,16700054,2,16,160000016,160006144,16777216,0,16777216,0,0,0,
M,17805319,2,17,160000016,160006144,17825792,0,17825792,0,0,0,
M,18796499,2,18,160000016,160006144,18874368,0,18874368,0,0,0,
M,19327910,2,19,160000016,160006144,19922944,0,19922944,0,0,0,
M,19996016,2,20,160000016,160006144,20971520,0,20971520,0,0,0,
M,20461868,2,21,160000016,160006144,22020096,0,22020096,0,0,0,
M,22069214,2,22,160000016,160006144,23068672,0,23068672,0,0,0,
M,22530318,2,23,160000016,160006144,24117248,0,24117248,0,0,0,
M,23024941,2,24,160000016,160006144,25165824,0,25165824,0,0,0,
M,24080625,2,25,160000016,160006144,26214400,0,26214400,0,0,0,
M,25385865,2,26,160000016,160006144,27262976,0,27262976,0,0,0,
M,26559626,2,27,160000016,160006144,28311552,0,28311552,0,0,0,
M,27543292,2,28,160000016,160006144,29360128,0,29360128,0,0,0,
M,28515290,2,29,160000016,160006144,30408704,0,30408704,0,0,0,
M,29471536,2,30,160000016,160006144,31457280,0,31457280,0,0,0,
M,30279811,2,31,160000016,160006144,32505856,0,32505856,0,0,0,
M,30995550,2,32,160000016,160006144,33554432,0,33554432,0,0,0,
M,31532696,2,33,160000016,160006144,34603008,0,34603008,0,0,0,
M,32108874,2,34,160000016,160006144,35651584,0,35651584,0,0,0,
M,32778088,2,35,160000016,160006144,36700160,0,36700160,0,0,0,
M,33811588,2,36,160000016,160006144,37748736,0,37748736,0,0,0,
M,34641840,2,37,160000016,160006144,38797312,0,38797312,0,0,0,
M,35317618,2,38,160000016,160006144,39845888,0,39845888,0,0,0,
M,36065184,2,39,160000016,160006144,40894464,0,40894464,0,0,0,
M,36752490,2,40,160000016,160006144,41943040,0,41943040,0,0,0,
M,37369165,2,41,160000016,160006144,42991616,0,42991616,0,0,0,
M,38187051,2,42,160000016,160006144,44040192,0,44040192,0,0,0,
M,38787283,2,43,160000016,160006144,45088768,0,45088768,0,0,0,
M,39641983,2,44,160000016,160006144,46137344,0,46137344,0,0,0,
M,40175216,2,45,160000016,160006144,47185920,0,47185920,0,0,0,
M,41152613,2,46,160000016,160006144,48234496,0,48234496,0,0,0,
M,42281963,2,47,160000016,160006144,49283072,0,49283072,0,0,0,
M,43401216,2,48,160000016,160006144,50331648,0,50331648,0,0,0,
M,44608191,2,49,160000016,160006144,51380224,0,51380224,0,0,0,
M,45328004,2,50,160000016,160006144,52428800,0,52428800,0,0,0,
M,45861667,2,51,160000016,160006144,53477376,0,53477376,0,0,0,
M,46456192,2,52,160000016,160006144,54525952,0,54525952,0,0,0,
M,47128551,2,53,160000016,160006144,55574528,0,55574528,0,0,0,
M,47782604,2,54,160000016,160006144,56623104,0,56623104,0,0,0,
M,48589041,2,55,160000016,160006144,57671680,0,57671680,0,0,0,
M,57901363,2,56,160000016,160006144,58720256,0,58720256,0,0,0,
M,61505016,2,57,160000016,160006144,59768832,0,59768832,0,0,0,
M,62918627,2,58,160000016,160006144,60817408,0,60817408,0,0,0,
M,64048240,2,59,160000016,160006144,61865984,0,61865984,0,0,0,
M,64992821,2,60,160000016,160006144,62914560,0,62914560,0,0,0,
M,66086956,2,61,160000016,160006144,63963136,0,63963136,0,0,0,
M,67402947,2,62,160000016,160006144,65011712,0,65011712,0,0,0,
M,69000482,2,63,160000016,160006144,66060288,0,66060288,0,0,0,
M,70175550,2,64,160000016,160006144,67108864,0,67108864,0,0,0,
M,70879761,2,65,160000016,160006144,68157440,0,68157440,0,0,0,
M,71545735,2,66,160000016,160006144,69206016,0,69206016,0,0,0,
M,73183556,2,67,160000016,160006144,70254592,0,70254592,0,0,0,
M,75059195,2,68,160000016,160006144,71303168,0,71303168,0,0,0,
M,75878635,2,69,160000016,160006144,72351744,0,72351744,0,0,0,
